number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_size,params_learning_rate,params_num_layers,params_seq_length,state
0,0.04562400987469717,2025-10-29 19:27:44.523144,2025-10-29 19:27:46.046564,0 days 00:00:01.523420,16,0.2,64,0.00013066739238053285,1,18,COMPLETE
1,0.07402182027177273,2025-10-29 19:27:46.052585,2025-10-29 19:27:47.293844,0 days 00:00:01.241259,32,0.2,128,0.00023270677083837802,1,24,COMPLETE
2,-0.13068758449035034,2025-10-29 19:27:47.296924,2025-10-29 19:27:48.240222,0 days 00:00:00.943298,16,0.30000000000000004,128,0.000816845589476017,1,18,COMPLETE
3,0.021670811859642036,2025-10-29 19:27:48.245786,2025-10-29 19:27:49.790180,0 days 00:00:01.544394,16,0.2,256,0.007902619549708232,1,20,COMPLETE
4,-0.0023493792185378393,2025-10-29 19:27:49.794909,2025-10-29 19:27:51.416935,0 days 00:00:01.622026,16,0.30000000000000004,128,0.00011715937392307068,1,16,COMPLETE
5,-0.20585504554273593,2025-10-29 19:27:51.418942,2025-10-29 19:27:52.349778,0 days 00:00:00.930836,16,0.5,256,0.0035503048581283078,1,24,COMPLETE
6,-0.004899882438378578,2025-10-29 19:27:52.349778,2025-10-29 19:27:53.155597,0 days 00:00:00.805819,32,0.30000000000000004,64,0.0005989003672254305,1,22,COMPLETE
7,-999.0,2025-10-29 19:27:53.155597,2025-10-29 19:27:53.298116,0 days 00:00:00.142519,16,0.2,128,0.009413993046829943,3,16,COMPLETE
8,-0.08365779063407519,2025-10-29 19:27:53.300119,2025-10-29 19:27:53.946013,0 days 00:00:00.645894,32,0.2,64,0.0005211124595788264,3,10,COMPLETE
9,-999.0,2025-10-29 19:27:53.949101,2025-10-29 19:27:54.006385,0 days 00:00:00.057284,16,0.4,64,0.0018841476921545091,1,22,COMPLETE
10,-0.15967919708343659,2025-10-29 19:27:54.006385,2025-10-29 19:27:55.463628,0 days 00:00:01.457243,32,0.4,128,0.00025489108174540454,2,30,COMPLETE
11,-0.07015147690885981,2025-10-29 19:27:55.476622,2025-10-29 19:27:56.571562,0 days 00:00:01.094940,32,0.2,64,0.00010834038921969227,2,26,COMPLETE
12,-999.0,2025-10-29 19:27:56.573565,2025-10-29 19:27:56.657555,0 days 00:00:00.083990,32,0.2,128,0.00022027217758865494,2,12,COMPLETE
13,-0.039122773174634196,2025-10-29 19:27:56.659560,2025-10-29 19:27:58.414592,0 days 00:00:01.755032,32,0.30000000000000004,64,0.0002607782403936025,2,28,COMPLETE
14,-999.0,2025-10-29 19:27:58.416983,2025-10-29 19:27:58.521834,0 days 00:00:00.104851,16,0.5,256,0.00033551652207558817,1,14,COMPLETE
15,-0.013850983049061849,2025-10-29 19:27:58.528258,2025-10-29 19:28:00.761759,0 days 00:00:02.233501,32,0.2,128,0.0001690193174407939,2,26,COMPLETE
16,-999.0,2025-10-29 19:28:00.763762,2025-10-29 19:28:00.800064,0 days 00:00:00.036302,32,0.4,64,0.0012971609844550417,1,20,COMPLETE
17,-999.0,2025-10-29 19:28:00.800064,2025-10-29 19:28:00.984790,0 days 00:00:00.184726,16,0.30000000000000004,128,0.0004136807831815929,3,24,COMPLETE
18,-0.02710283650448253,2025-10-29 19:28:00.989118,2025-10-29 19:28:01.434089,0 days 00:00:00.444971,32,0.2,64,0.0001508835656872642,1,18,COMPLETE
19,-999.0,2025-10-29 19:28:01.434089,2025-10-29 19:28:01.648876,0 days 00:00:00.214787,16,0.30000000000000004,256,0.00010214170057614816,2,22,COMPLETE
20,-999.0,2025-10-29 19:28:01.648876,2025-10-29 19:28:01.724805,0 days 00:00:00.075929,16,0.2,128,0.0008618980892282986,1,30,COMPLETE
21,-999.0,2025-10-29 19:28:01.724805,2025-10-29 19:28:01.831063,0 days 00:00:00.106258,16,0.2,256,0.009894767548199741,1,20,COMPLETE
22,-999.0,2025-10-29 19:28:01.833067,2025-10-29 19:28:01.936101,0 days 00:00:00.103034,16,0.2,256,0.0046783090843202785,1,18,COMPLETE
23,-999.0,2025-10-29 19:28:01.948983,2025-10-29 19:28:02.070947,0 days 00:00:00.121964,16,0.2,256,0.002747318938365732,1,24,COMPLETE
24,-999.0,2025-10-29 19:28:02.070947,2025-10-29 19:28:02.180719,0 days 00:00:00.109772,16,0.30000000000000004,256,0.005665033272450021,1,16,COMPLETE
25,-999.0,2025-10-29 19:28:02.180719,2025-10-29 19:28:02.389656,0 days 00:00:00.208937,16,0.2,256,0.00018528594429523723,2,20,COMPLETE
26,-999.0,2025-10-29 19:28:02.389656,2025-10-29 19:28:02.434058,0 days 00:00:00.044402,32,0.30000000000000004,64,0.0017823034374677674,1,26,COMPLETE
27,-999.0,2025-10-29 19:28:02.435203,2025-10-29 19:28:02.545166,0 days 00:00:00.109963,16,0.2,256,0.0003410570231583063,1,22,COMPLETE
28,-999.0,2025-10-29 19:28:02.547386,2025-10-29 19:28:02.602532,0 days 00:00:00.055146,32,0.4,64,0.0012284754771131406,2,14,COMPLETE
29,-999.0,2025-10-29 19:28:02.613008,2025-10-29 19:28:02.681319,0 days 00:00:00.068311,16,0.30000000000000004,128,0.0006013241283374304,1,18,COMPLETE
30,0.03808605468257831,2025-10-29 19:28:02.683322,2025-10-29 19:28:04.563473,0 days 00:00:01.880151,16,0.2,128,0.0001426366090709403,1,20,COMPLETE
31,0.10103568912629823,2025-10-29 19:28:04.572503,2025-10-29 19:28:06.082508,0 days 00:00:01.510005,16,0.2,128,0.00015034446187659224,1,20,COMPLETE
32,0.07244442648693405,2025-10-29 19:28:06.082508,2025-10-29 19:28:07.973091,0 days 00:00:01.890583,16,0.2,128,0.00014089421841786018,1,18,COMPLETE
33,0.01121518609949379,2025-10-29 19:28:07.975097,2025-10-29 19:28:09.566319,0 days 00:00:01.591222,16,0.2,128,0.00013269704173949026,1,16,COMPLETE
34,-999.0,2025-10-29 19:28:09.568833,2025-10-29 19:28:09.637004,0 days 00:00:00.068171,16,0.2,128,0.0001912216965461286,1,14,COMPLETE
35,-999.0,2025-10-29 19:28:09.638194,2025-10-29 19:28:09.710110,0 days 00:00:00.071916,16,0.30000000000000004,128,0.00029569022683342534,1,18,COMPLETE
36,-999.0,2025-10-29 19:28:09.713371,2025-10-29 19:28:09.800797,0 days 00:00:00.087426,16,0.2,128,0.00021081198485914713,1,24,COMPLETE
37,-999.0,2025-10-29 19:28:09.800797,2025-10-29 19:28:09.871509,0 days 00:00:00.070712,16,0.30000000000000004,128,0.00012992592019585547,1,22,COMPLETE
38,-999.0,2025-10-29 19:28:09.874345,2025-10-29 19:28:09.935032,0 days 00:00:00.060687,16,0.2,128,0.00040386505596306973,1,16,COMPLETE
39,-0.07622811580039612,2025-10-29 19:28:09.935032,2025-10-29 19:28:12.163809,0 days 00:00:02.228777,32,0.5,128,0.00010488101410479353,3,18,COMPLETE
40,-0.01169254529521413,2025-10-29 19:28:12.171326,2025-10-29 19:28:13.896485,0 days 00:00:01.725159,16,0.2,128,0.0001591516769539538,1,20,COMPLETE
41,0.01584986092965468,2025-10-29 19:28:13.898492,2025-10-29 19:28:15.537577,0 days 00:00:01.639085,16,0.2,128,0.0001259220645850261,1,20,COMPLETE
42,-999.0,2025-10-29 19:28:15.538839,2025-10-29 19:28:15.609057,0 days 00:00:00.070218,16,0.2,128,0.00023432496342643954,1,20,COMPLETE
43,-0.08471992794541006,2025-10-29 19:28:15.611571,2025-10-29 19:28:17.406608,0 days 00:00:01.795037,16,0.2,128,0.00014610657592129645,1,22,COMPLETE
44,0.060979249798307156,2025-10-29 19:28:17.408612,2025-10-29 19:28:18.575318,0 days 00:00:01.166706,16,0.2,128,0.00018365848213290476,1,16,COMPLETE
45,0.024145976429714278,2025-10-29 19:28:18.578821,2025-10-29 19:28:19.265059,0 days 00:00:00.686238,32,0.2,64,0.0002603450869917862,1,12,COMPLETE
46,0.0576354468317829,2025-10-29 19:28:19.268655,2025-10-29 19:28:22.154801,0 days 00:00:02.886146,16,0.2,128,0.00018129168298349198,2,16,COMPLETE
47,-999.0,2025-10-29 19:28:22.159428,2025-10-29 19:28:22.278089,0 days 00:00:00.118661,16,0.30000000000000004,128,0.000523169475219478,2,16,COMPLETE
48,-0.19005185983770367,2025-10-29 19:28:22.280350,2025-10-29 19:28:23.633380,0 days 00:00:01.353030,32,0.2,128,0.00020698368669674232,3,14,COMPLETE
49,-999.0,2025-10-29 19:28:23.636758,2025-10-29 19:28:23.772076,0 days 00:00:00.135318,16,0.2,128,0.0003316308363574645,2,12,COMPLETE
